var_fecha,var_hora,Valor
20/02/2013,9:45:00,10.55277778
20/02/2013,10:00:00,10.455
20/02/2013,10:15:00,10.84611111
20/02/2013,10:30:00,10.65111111
20/02/2013,10:31:03,NULL
20/02/2013,10:45:00,11.13888889
20/02/2013,11:00:00,11.04111111
20/02/2013,11:15:00,10.74777778
20/02/2013,11:30:00,11.13888889
20/02/2013,11:39:16,NULL
20/02/2013,11:45:00,11.72222222
20/02/2013,12:00:00,12.30388889
20/02/2013,12:03:22,NULL
20/02/2013,12:15:00,12.11
20/02/2013,12:22:29,NULL
20/02/2013,12:30:00,11.81888889
20/02/2013,12:45:00,12.11
20/02/2013,12:49:26,NULL
20/02/2013,12:52:13,NULL
20/02/2013,12:55:11,NULL
20/02/2013,13:00:00,12.01277778
20/02/2013,13:08:18,NULL
20/02/2013,13:15:00,11.81888889
20/02/2013,13:15:36,NULL
20/02/2013,13:21:19,NULL
20/02/2013,13:30:00,11.52777778
20/02/2013,13:30:42,NULL
20/02/2013,13:36:39,NULL
20/02/2013,13:39:54,NULL
20/02/2013,13:45:00,11.52777778
20/02/2013,13:53:33,NULL
20/02/2013,13:58:58,NULL
20/02/2013,14:00:00,11.43111111
20/02/2013,14:03:31,NULL
20/02/2013,14:14:04,NULL
20/02/2013,14:15:00,11.625
20/02/2013,14:21:53,NULL
20/02/2013,14:30:00,11.625
20/02/2013,14:36:55,NULL
20/02/2013,14:45:00,11.43111111
20/02/2013,14:47:32,NULL
20/02/2013,14:57:01,NULL
20/02/2013,15:00:00,11.52777778
20/02/2013,15:15:00,11.43111111
20/02/2013,15:29:55,NULL
20/02/2013,15:30:00,11.72222222
20/02/2013,15:45:00,11.72222222
20/02/2013,16:00:00,11.43111111
20/02/2013,16:15:00,11.33388889
20/02/2013,16:30:00,10.94388889
20/02/2013,16:45:00,10.74777778
20/02/2013,17:00:00,10.35722222
20/02/2013,17:15:00,10.16111111
20/02/2013,17:30:00,10.06277778
20/02/2013,17:45:00,9.668888889
20/02/2013,18:00:00,9.472222222
20/02/2013,18:15:00,9.275
20/02/2013,18:30:00,9.176111111
20/02/2013,18:45:00,8.977777778
20/02/2013,19:00:00,8.977777778
20/02/2013,19:15:00,8.977777778
20/02/2013,19:30:00,8.878888889
20/02/2013,19:45:00,8.878888889
20/02/2013,20:00:00,8.778888889
20/02/2013,20:15:00,8.778888889
20/02/2013,20:30:00,8.778888889
20/02/2013,20:45:00,8.778888889
20/02/2013,21:00:00,8.878888889
20/02/2013,21:15:00,8.977777778
20/02/2013,21:30:00,8.977777778
20/02/2013,21:45:00,8.977777778
20/02/2013,22:00:00,8.878888889
20/02/2013,22:15:00,8.778888889
20/02/2013,22:30:00,8.778888889
20/02/2013,22:45:00,8.778888889
20/02/2013,23:00:00,8.68
20/02/2013,23:15:00,8.68
20/02/2013,23:30:00,8.68
20/02/2013,23:45:00,8.581111111
21/02/2013,0:00:00,8.581111111
21/02/2013,0:15:00,8.581111111
21/02/2013,0:30:00,8.481111111
21/02/2013,0:45:00,8.481111111
21/02/2013,1:00:00,8.481111111
21/02/2013,1:15:00,8.481111111
21/02/2013,1:30:00,8.481111111
21/02/2013,1:45:00,8.481111111
21/02/2013,2:00:00,8.481111111
21/02/2013,2:15:00,8.382222222
21/02/2013,2:30:00,8.382222222
21/02/2013,2:45:00,8.382222222
21/02/2013,3:00:00,8.382222222
21/02/2013,3:15:00,8.382222222
21/02/2013,3:30:00,8.382222222
21/02/2013,3:45:00,8.282222222
21/02/2013,4:00:00,8.282222222
21/02/2013,4:15:00,8.382222222
21/02/2013,4:30:00,8.382222222
21/02/2013,4:45:00,8.382222222
21/02/2013,5:00:00,8.382222222
21/02/2013,5:15:00,8.382222222
21/02/2013,5:30:00,8.382222222
21/02/2013,5:45:00,8.382222222
21/02/2013,6:00:00,8.382222222
21/02/2013,6:15:00,8.382222222
21/02/2013,6:30:00,8.282222222
21/02/2013,6:45:00,8.481111111
21/02/2013,7:00:00,8.481111111
21/02/2013,7:15:00,8.581111111
21/02/2013,7:30:00,8.581111111
21/02/2013,7:45:00,8.581111111
21/02/2013,8:00:00,8.778888889
21/02/2013,8:15:00,9.275
21/02/2013,8:30:00,9.767777778
21/02/2013,8:45:00,10.35722222
21/02/2013,9:00:00,10.25888889
21/02/2013,9:15:00,10.16111111
21/02/2013,9:30:00,11.23611111
21/02/2013,9:45:00,12.88277778
21/02/2013,10:00:00,16.33222222
21/02/2013,10:10:59,NULL
21/02/2013,10:15:00,14.99611111
21/02/2013,10:30:00,15.37777778
21/02/2013,10:45:00,14.42111111
21/02/2013,11:00:00,13.55777778
21/02/2013,11:15:00,14.23
21/02/2013,11:30:00,14.325
21/02/2013,11:45:00,14.42111111
21/02/2013,12:00:00,14.80388889
