"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Precipitacion, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
313,01/11/17 22:52:04,31.2,
314,02/11/17 12:48:33,31.3,
315,02/11/17 12:50:33,31.4,
316,02/11/17 12:54:49,31.5,
317,02/11/17 12:59:02,31.6,
318,02/11/17 13:02:21,31.7,
319,02/11/17 13:05:44,31.8,
320,02/11/17 13:12:06,31.9,
321,02/11/17 13:21:32,32.0,
322,02/11/17 13:30:16,32.1,
323,02/11/17 13:35:05,32.2,
324,02/11/17 13:38:01,32.3,
325,02/11/17 13:39:36,32.4,
326,02/11/17 13:41:03,32.5,
327,02/11/17 13:42:51,32.6,
328,02/11/17 13:44:49,32.7,
329,02/11/17 13:46:43,32.8,
330,02/11/17 13:49:12,32.9,
331,02/11/17 13:51:36,33.0,
332,02/11/17 13:53:22,33.1,
333,02/11/17 13:55:22,33.2,
334,02/11/17 13:58:48,33.3,
335,02/11/17 14:04:06,33.4,
336,02/11/17 14:09:19,33.5,
337,02/11/17 14:11:52,33.6,
338,02/11/17 14:15:01,33.7,
339,02/11/17 14:18:30,33.8,
340,02/11/17 14:23:55,33.9,
341,02/11/17 14:33:34,34.0,
342,02/11/17 14:40:12,34.1,
343,02/11/17 14:42:10,34.2,
344,02/11/17 14:45:03,34.3,
345,02/11/17 14:47:33,34.4,
346,02/11/17 15:03:46,34.5,
347,03/11/17 16:35:47,34.6,
348,03/11/17 16:39:36,34.7,
349,03/11/17 16:43:48,34.8,
350,03/11/17 16:49:37,34.9,
351,03/11/17 17:14:34,35.0,
352,03/11/17 17:23:11,35.1,
353,08/11/17 13:30:53,35.2,
354,08/11/17 13:32:18,35.3,
355,08/11/17 13:33:35,35.4,
356,08/11/17 13:34:31,35.5,
357,08/11/17 13:35:12,35.6,
358,08/11/17 13:35:45,35.7,
359,08/11/17 13:36:31,35.8,
360,08/11/17 13:37:18,35.9,
361,08/11/17 13:38:15,36.0,
