"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
195;24/02/15 15:24:19;19.4;
196;24/02/15 15:24:49;19.5;
197;24/02/15 15:25:26;19.6;
198;24/02/15 15:26:21;19.7;
199;24/02/15 15:27:15;19.8;
200;24/02/15 15:28:17;19.9;
201;24/02/15 15:29:12;20.0;
202;24/02/15 15:29:34;20.1;
203;24/02/15 15:29:53;20.2;
204;24/02/15 15:30:22;20.3;
205;24/02/15 15:30:44;20.4;
206;24/02/15 15:31:47;20.5;
207;24/02/15 15:32:22;20.6;
208;24/02/15 15:33:18;20.7;
209;24/02/15 15:34:22;20.8;
210;24/02/15 15:35:22;20.9;
211;24/02/15 15:35:57;21.0;
212;24/02/15 15:36:40;21.1;
213;24/02/15 15:37:23;21.2;
214;24/02/15 15:38:27;21.3;
215;24/02/15 15:40:00;21.4;
216;24/02/15 15:42:20;21.5;
217;24/02/15 15:44:04;21.6;
218;24/02/15 15:48:13;21.7;
219;24/02/15 15:53:49;21.8;
220;24/02/15 16:04:16;21.9;
221;24/02/15 16:05:40;22.0;
222;24/02/15 16:08:43;22.1;
223;24/02/15 16:11:02;22.2;
224;24/02/15 16:13:30;22.3;
225;24/02/15 16:17:11;22.4;
226;24/02/15 16:22:55;22.5;
227;24/02/15 16:24:39;22.6;
228;24/02/15 16:25:39;22.7;
229;24/02/15 16:26:14;22.8;
230;24/02/15 16:27:28;22.9;
231;24/02/15 16:30:25;23.0;
232;24/02/15 16:43:46;23.1;
233;24/02/15 16:55:00;23.2;
234;24/02/15 16:56:14;23.3;
235;24/02/15 16:57:24;23.4;
236;24/02/15 16:59:02;23.5;
237;24/02/15 17:00:27;23.6;
238;24/02/15 17:01:31;23.7;
239;24/02/15 17:02:22;23.8;
240;24/02/15 17:03:00;23.9;
241;24/02/15 17:03:34;24.0;
242;24/02/15 17:04:21;24.1;
243;24/02/15 17:04:51;24.2;
244;24/02/15 17:05:35;24.3;
245;24/02/15 17:06:51;24.4;
246;24/02/15 17:08:13;24.5;
247;24/02/15 17:09:35;24.6;
248;24/02/15 17:10:59;24.7;
249;24/02/15 17:11:44;24.8;
250;24/02/15 17:12:35;24.9;
251;24/02/15 17:13:15;25.0;
252;24/02/15 17:14:02;25.1;
253;24/02/15 17:14:40;25.2;
254;24/02/15 17:15:59;25.3;
255;24/02/15 17:17:46;25.4;
256;24/02/15 17:21:15;25.5;
257;24/02/15 17:24:45;25.6;
258;24/02/15 17:27:29;25.7;
259;24/02/15 17:28:55;25.8;
260;24/02/15 17:31:24;25.9;
261;24/02/15 17:33:24;26.0;
262;24/02/15 17:35:34;26.1;
263;24/02/15 17:37:07;26.2;
264;24/02/15 17:39:22;26.3;
265;24/02/15 17:41:36;26.4;
266;24/02/15 17:44:40;26.5;
267;24/02/15 17:47:04;26.6;
268;24/02/15 17:49:17;26.7;
269;24/02/15 17:50:52;26.8;
270;24/02/15 17:53:05;26.9;
271;24/02/15 17:54:15;27.0;
272;24/02/15 17:55:48;27.1;
273;24/02/15 17:56:56;27.2;
274;24/02/15 17:58:18;27.3;
275;24/02/15 18:00:17;27.4;
276;24/02/15 18:02:26;27.5;
277;24/02/15 18:07:20;27.6;
278;24/02/15 18:13:26;27.7;
279;24/02/15 18:17:44;27.8;
280;24/02/15 18:27:28;27.9;
281;24/02/15 18:36:07;28.0;
282;24/02/15 19:48:28;28.1;
283;27/02/15 15:04:26;28.2;
284;27/02/15 15:06:24;28.3;
285;27/02/15 15:08:04;28.4;
286;27/02/15 15:13:09;28.5;
287;28/02/15 11:25:55;28.6;
288;28/02/15 12:49:06;28.7;
289;02/03/15 07:40:23;28.8;
290;02/03/15 13:13:26;28.9;
291;02/03/15 13:13:57;29.0;
