"Título de trazado: JTU_01_PT_63 D 2013-12-01"
"N.º","Fecha Tiempo, GMT-05:00","Evento, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
287,05/12/13 16:05:57,28.6,
288,05/12/13 16:12:05,28.7,
289,05/12/13 16:19:19,28.8,
290,05/12/13 16:24:43,28.9,
291,05/12/13 16:26:05,29.0,
292,05/12/13 16:27:31,29.1,
293,05/12/13 16:28:16,29.2,
294,05/12/13 16:29:00,29.3,
295,05/12/13 16:30:00,29.4,
296,05/12/13 16:31:01,29.5,
297,05/12/13 16:31:51,29.6,
298,05/12/13 16:32:47,29.7,
299,05/12/13 16:33:29,29.8,
300,05/12/13 16:34:18,29.9,
301,05/12/13 16:35:13,30.0,
302,05/12/13 16:36:02,30.1,
303,05/12/13 16:36:49,30.2,
304,05/12/13 16:37:59,30.3,
305,05/12/13 16:38:57,30.4,
306,05/12/13 16:39:59,30.5,
307,05/12/13 16:41:19,30.6,
308,05/12/13 16:42:57,30.7,
309,05/12/13 16:45:10,30.8,
310,05/12/13 16:49:18,30.9,
311,05/12/13 17:27:52,31.0,
312,05/12/13 21:54:45,31.1,
313,06/12/13 15:00:31,31.2,
314,06/12/13 15:02:10,31.3,
315,06/12/13 15:06:41,31.4,
316,08/12/13 11:39:51,31.5,
317,09/12/13 12:24:12,31.6,
318,09/12/13 12:26:40,31.7,
319,09/12/13 12:29:02,31.8,
320,09/12/13 12:29:50,31.9,
321,09/12/13 12:30:14,32.0,
322,09/12/13 12:30:38,32.1,
323,09/12/13 12:31:16,32.2,
324,09/12/13 12:33:08,32.3,
325,09/12/13 12:35:22,32.4,
326,09/12/13 12:38:17,32.5,
327,09/12/13 12:40:16,32.6,
328,09/12/13 12:43:03,32.7,
329,09/12/13 12:47:04,32.8,
330,09/12/13 13:05:51,32.9,
331,09/12/13 13:08:47,33.0,
332,09/12/13 13:12:22,33.1,
333,09/12/13 13:14:53,33.2,
334,09/12/13 13:17:41,33.3,
335,09/12/13 13:19:12,33.4,
336,09/12/13 13:21:17,33.5,
337,09/12/13 13:23:41,33.6,
338,09/12/13 13:26:05,33.7,
339,09/12/13 13:28:19,33.8,
340,09/12/13 13:30:38,33.9,
341,09/12/13 13:32:50,34.0,
342,09/12/13 13:36:09,34.1,
343,09/12/13 13:44:49,34.2,
344,09/12/13 13:48:58,34.3,
345,09/12/13 13:54:05,34.4,
346,09/12/13 14:02:10,34.5,
347,09/12/13 14:50:54,34.6,
348,09/12/13 15:03:38,34.7,
349,09/12/13 15:09:32,34.8,
350,10/12/13 02:14:02,34.9,
351,10/12/13 02:50:19,35.0,
352,10/12/13 04:28:56,35.1,
353,10/12/13 06:53:56,35.2,
354,10/12/13 11:24:08,35.3,
355,10/12/13 12:02:18,35.4,
356,12/12/13 06:07:53,35.5,
357,13/12/13 15:39:27,35.6,
358,16/12/13 05:36:21,35.7,
359,18/12/13 10:40:29,35.8,
360,18/12/13 10:42:08,35.9,
361,18/12/13 10:44:13,36.0,
362,18/12/13 10:57:27,36.1,
363,18/12/13 11:04:03,36.2,
364,18/12/13 11:07:21,36.3,
365,18/12/13 11:54:29,36.4,
366,18/12/13 13:32:00,36.5,
367,18/12/13 13:34:47,36.6,
368,18/12/13 13:38:18,36.7,
369,18/12/13 13:40:04,36.8,
370,18/12/13 13:41:15,36.9,
371,18/12/13 13:42:04,37.0,
372,18/12/13 13:43:22,37.1,
373,18/12/13 14:43:46,37.2,
374,18/12/13 16:31:41,37.3,
375,18/12/13 16:33:16,37.4,
376,19/12/13 02:45:14,37.5,
377,20/12/13 03:50:22,37.6,
378,20/12/13 03:53:49,37.7,
379,20/12/13 03:55:56,37.8,
380,20/12/13 03:58:18,37.9,
381,20/12/13 04:00:08,38.0,
382,20/12/13 04:02:19,38.1,
383,20/12/13 04:04:24,38.2,
384,20/12/13 04:07:17,38.3,
385,20/12/13 04:09:30,38.4,
386,20/12/13 04:14:06,38.5,
387,20/12/13 04:20:51,38.6,
388,20/12/13 04:32:39,38.7,
389,20/12/13 04:47:12,38.8,
390,20/12/13 04:57:37,38.9,
391,20/12/13 05:03:06,39.0,
392,20/12/13 05:10:17,39.1,
393,20/12/13 05:14:35,39.2,
394,20/12/13 05:18:24,39.3,
395,20/12/13 05:20:39,39.4,
396,20/12/13 05:22:31,39.5,
397,20/12/13 05:24:05,39.6,
398,20/12/13 05:25:14,39.7,
399,20/12/13 05:26:23,39.8,
400,20/12/13 05:27:19,39.9,
401,20/12/13 05:28:07,40.0,
402,20/12/13 05:28:56,40.1,
403,20/12/13 05:29:37,40.2,
404,20/12/13 05:30:32,40.3,
405,20/12/13 05:31:16,40.4,
406,20/12/13 05:32:09,40.5,
407,20/12/13 05:33:25,40.6,
408,20/12/13 05:34:43,40.7,
409,20/12/13 05:35:45,40.8,
410,20/12/13 05:36:32,40.9,
411,20/12/13 05:37:44,41.0,
412,20/12/13 05:38:34,41.1,
413,20/12/13 05:39:56,41.2,
414,20/12/13 05:41:30,41.3,
415,20/12/13 05:43:09,41.4,
416,20/12/13 05:45:34,41.5,
417,20/12/13 05:47:53,41.6,
418,20/12/13 05:50:38,41.7,
419,20/12/13 05:52:49,41.8,
420,20/12/13 05:55:14,41.9,
421,20/12/13 05:57:03,42.0,
422,20/12/13 05:58:39,42.1,
423,20/12/13 06:00:05,42.2,
424,20/12/13 06:02:50,42.3,
425,20/12/13 06:05:12,42.4,
426,20/12/13 06:07:56,42.5,
427,20/12/13 06:10:17,42.6,
428,20/12/13 06:14:41,42.7,
429,20/12/13 06:18:29,42.8,
430,20/12/13 07:31:59,42.9,
431,20/12/13 14:10:33,43.0,
432,20/12/13 14:15:57,43.1,
433,20/12/13 14:17:58,43.2,
434,20/12/13 14:22:04,43.3,
435,20/12/13 14:35:56,43.4,
436,20/12/13 15:05:32,43.5,
437,20/12/13 15:06:57,43.6,
438,20/12/13 15:08:18,43.7,
439,20/12/13 15:09:08,43.8,
440,20/12/13 15:10:22,43.9,
441,20/12/13 15:11:04,44.0,
442,20/12/13 15:11:25,44.1,
443,20/12/13 15:11:46,44.2,
444,20/12/13 15:12:02,44.3,
445,20/12/13 15:12:32,44.4,
446,20/12/13 15:13:58,44.5,
447,20/12/13 15:16:47,44.6,
448,20/12/13 15:18:39,44.7,
449,20/12/13 15:21:54,44.8,
450,22/12/13 15:22:32,44.9,
451,22/12/13 15:24:02,45.0,
452,22/12/13 15:25:01,45.1,
453,22/12/13 15:26:32,45.2,
454,22/12/13 15:31:31,45.3,
455,22/12/13 16:03:09,45.4,
456,22/12/13 16:09:39,45.5,
457,22/12/13 16:14:42,45.6,
458,22/12/13 16:15:56,45.7,
459,22/12/13 16:16:57,45.8,
460,22/12/13 16:19:32,45.9,
461,22/12/13 16:35:54,46.0,
462,22/12/13 17:06:26,46.1,
463,24/12/13 15:34:23,46.2,
464,24/12/13 15:35:38,46.3,
465,24/12/13 15:36:44,46.4,
466,24/12/13 15:38:28,46.5,
467,24/12/13 15:46:53,46.6,
468,24/12/13 15:49:18,46.7,
469,24/12/13 15:50:15,46.8,
470,24/12/13 15:51:17,46.9,
471,24/12/13 15:52:30,47.0,
472,24/12/13 16:06:00,47.1,
473,25/12/13 07:21:57,47.2,
474,25/12/13 15:19:14,47.3,
475,25/12/13 15:58:22,47.4,
476,25/12/13 16:05:06,47.5,
477,25/12/13 16:06:28,47.6,
478,25/12/13 16:07:25,47.7,
479,25/12/13 16:08:20,47.8,
480,25/12/13 16:09:23,47.9,
481,25/12/13 16:10:19,48.0,
482,25/12/13 16:11:02,48.1,
483,25/12/13 16:12:28,48.2,
484,25/12/13 16:14:24,48.3,
485,25/12/13 16:18:29,48.4,
486,25/12/13 16:28:39,48.5,
487,25/12/13 16:36:49,48.6,
488,25/12/13 17:38:59,48.7,
489,25/12/13 17:46:57,48.8,
490,25/12/13 17:50:08,48.9,
491,25/12/13 17:55:44,49.0,
492,25/12/13 18:01:17,49.1,
493,25/12/13 18:22:30,49.2,
494,25/12/13 18:53:13,49.3,
495,25/12/13 18:59:08,49.4,
496,25/12/13 19:06:02,49.5,
497,25/12/13 19:12:34,49.6,
498,25/12/13 19:17:41,49.7,
499,25/12/13 19:20:35,49.8,
500,25/12/13 19:24:28,49.9,
501,25/12/13 19:28:32,50.0,
502,25/12/13 19:32:28,50.1,
503,25/12/13 19:35:42,50.2,
504,25/12/13 19:38:57,50.3,
505,25/12/13 19:41:47,50.4,
506,25/12/13 19:45:14,50.5,
507,25/12/13 19:47:16,50.6,
508,25/12/13 19:49:03,50.7,
509,25/12/13 19:51:07,50.8,
510,25/12/13 19:54:00,50.9,
511,25/12/13 19:56:33,51.0,
512,25/12/13 20:01:24,51.1,
513,25/12/13 20:09:04,51.2,
514,25/12/13 20:28:02,51.3,
515,25/12/13 20:57:13,51.4,
516,27/12/13 04:55:39,51.5,
517,28/12/13 01:23:58,51.6,
518,28/12/13 06:10:35,51.7,
519,28/12/13 06:40:55,51.8,
520,28/12/13 07:01:09,51.9,
521,28/12/13 07:08:15,52.0,
522,28/12/13 07:37:22,52.1,
523,28/12/13 21:16:36,52.2,
524,28/12/13 22:17:04,52.3,
525,28/12/13 22:48:52,52.4,
526,28/12/13 23:01:48,52.5,
527,28/12/13 23:44:44,52.6,
528,29/12/13 00:07:30,52.7,
529,29/12/13 00:25:28,52.8,
530,29/12/13 05:58:25,52.9,
531,29/12/13 08:43:05,53.0,
532,29/12/13 22:33:15,53.1,
533,30/12/13 01:26:28,53.2,
534,30/12/13 01:40:03,53.3,
535,30/12/13 01:58:51,53.4,
536,30/12/13 02:14:18,53.5,
537,30/12/13 02:21:22,53.6,
538,30/12/13 02:21:50,53.7,
539,30/12/13 02:26:00,53.8,
540,30/12/13 02:38:04,53.9,
541,30/12/13 04:22:51,54.0,
542,01/01/14 07:42:54,54.1,
543,01/01/14 07:52:46,54.2,
544,01/01/14 08:07:50,54.3,
545,01/01/14 08:26:37,54.4,
546,04/01/14 09:30:42,54.5,
547,04/01/14 09:49:36,54.6,
548,04/01/14 09:53:23,54.7,
549,04/01/14 10:03:49,54.8,
550,04/01/14 10:18:09,54.9,
551,05/01/14 02:05:17,55.0,
552,05/01/14 02:05:29,55.1,
553,05/01/14 02:31:34,55.2,
554,05/01/14 02:51:01,55.3,
555,05/01/14 03:44:34,55.4,
556,05/01/14 04:27:20,55.5,
557,05/01/14 04:58:56,55.6,
558,05/01/14 06:17:14,55.7,
559,05/01/14 06:49:27,55.8,
560,05/01/14 10:12:18,55.9,
561,05/01/14 11:53:07,56.0,
562,05/01/14 12:15:25,56.1,
563,05/01/14 13:19:26,56.2,
564,05/01/14 13:21:10,56.3,
565,05/01/14 13:22:05,56.4,
566,05/01/14 13:23:07,56.5,
567,05/01/14 13:25:32,56.6,
568,05/01/14 13:29:31,56.7,
569,05/01/14 13:32:48,56.8,
570,05/01/14 13:38:22,56.9,
571,05/01/14 14:55:40,57.0,
572,06/01/14 00:26:07,57.1,
573,06/01/14 00:46:32,57.2,
574,06/01/14 00:50:50,57.3,
575,06/01/14 01:08:14,57.4,
576,06/01/14 02:43:50,57.5,
577,06/01/14 02:50:11,57.6,
578,06/01/14 03:06:49,57.7,
579,06/01/14 03:16:50,57.8,
580,06/01/14 03:21:40,57.9,
581,06/01/14 03:26:35,58.0,
582,06/01/14 03:48:28,58.1,
583,06/01/14 06:57:22,58.2,
584,06/01/14 07:21:22,58.3,
585,06/01/14 08:41:05,58.4,
