"TOA5","H5006","CR2xx","No_SN","CR200X.Std.01","nivel_04-12-2017.CR2","20631","Intervalo"
"TIMESTAMP","RECORD","nivel_A_Max","nivel_A_Min","nivel_A_Avg","Temp_C_Max","Temp_C_Min","Temp_C_Avg","batt_volt_Avg"
"TS","RN","m","m","m","Grados","Grados","Grados",""
"","","Max","Min","Avg","Max","Min","Avg","Avg"
"2018-01-12 12:45:00",11271,0.3286797,0.3275631,0.3281026,7.977877,7.934591,7.956109,13.38082
"2018-01-12 12:50:00",11272,0.3282055,0.327359,0.3277179,8.03133,7.989696,8.010949,13.38519
"2018-01-12 12:55:00",11273,0.3286511,0.3277236,0.3280839,8.081669,8.041605,8.061942,13.37109
"2018-01-12 13:00:00",11274,0.3281897,0.3278315,0.3279584,8.124049,8.090801,8.108105,13.39123
"2018-01-12 13:05:00",11275,0.3282583,0.3276609,0.3279184,8.170272,8.131804,8.15032,13.3867
"2018-01-12 13:10:00",11276,0.3284332,0.327822,0.3280533,8.22267,8.18058,8.201268,13.37176
"2018-01-12 13:15:00",11277,0.3284851,0.3273289,0.3280562,8.277827,8.235168,8.257197,13.38116
"2018-01-12 13:20:00",11278,0.3283651,0.3275715,0.3279578,8.315738,8.285752,8.301663,13.38133
"2018-01-12 13:25:00",11279,0.3282354,0.3275055,0.3280048,8.36159,8.323307,8.341677,13.3642
"2018-01-12 13:30:00",11280,0.3284875,0.3276903,0.3279998,8.411653,8.372525,8.3926,13.37344
"2018-01-12 13:35:00",11281,0.3282844,0.3276337,0.3278182,8.471392,8.421004,8.446959,13.36286
"2018-01-12 13:40:00",11282,0.3280562,0.3272088,0.3277137,8.528245,8.48422,8.507896,13.35245
"2018-01-12 13:45:00",11283,0.328097,0.3275269,0.327876,8.594963,8.537196,8.563975,13.35262
"2018-01-12 13:50:00",11284,0.327681,0.327438,0.3275982,8.701628,8.612916,8.656349,13.34456
"2018-01-12 13:55:00",11285,0.3282164,0.3274915,0.3278322,8.830774,8.724277,8.778044,13.32156
"2018-01-12 14:00:00",11286,0.328413,0.3274941,0.3278792,8.966698,8.858176,8.914266,13.31837
"2018-01-12 14:05:00",11287,0.3285322,0.3273947,0.3279675,9.096804,8.993444,9.04453,13.2994
"2018-01-12 14:10:00",11288,0.3282943,0.327574,0.3280205,9.207817,9.12323,9.166666,13.27992
"2018-01-12 14:15:00",11289,0.328491,0.3276056,0.3280528,9.270737,9.222693,9.247969,13.29134
"2018-01-12 14:20:00",11290,0.3283001,0.3275059,0.3278981,9.300035,9.281212,9.293676,13.2905
"2018-01-12 14:25:00",11291,0.3284838,0.3280092,0.3283384,9.300371,9.29959,9.300061,13.29201
"2018-01-12 14:30:00",11292,0.3281934,0.3278569,0.3279992,9.304167,9.299775,9.30141,13.31484
"2018-01-12 14:35:00",11293,0.3283131,0.3276098,0.3281249,9.31492,9.306819,9.310267,13.32038
"2018-01-12 14:40:00",11294,0.3279954,0.3275382,0.3278106,9.339991,9.319047,9.328638,13.31266
"2018-01-12 14:45:00",11295,0.3279357,0.3275601,0.3276666,9.371365,9.346139,9.358862,13.33062
"2018-01-12 14:50:00",11296,0.3281808,0.3275552,0.3278801,9.396583,9.374998,9.385218,13.33029
"2018-01-12 14:55:00",11297,0.3278898,0.3274047,0.3276299,9.439456,9.402982,9.419458,13.32257
"2018-01-12 15:00:00",11298,0.3280086,0.3275193,0.3277972,9.489595,9.449628,9.468832,13.33616
"2018-01-12 15:05:00",11299,0.3281635,0.3274651,0.3278503,9.530081,9.498522,9.513652,13.34254
"2018-01-12 15:10:00",11300,0.3280486,0.3275626,0.3277496,9.562107,9.537038,9.549015,13.33684
"2018-01-12 15:15:00",11301,0.3282955,0.327428,0.3276699,9.609618,9.569721,9.588943,13.34809
"2018-01-12 15:20:00",11302,0.3279693,0.3273187,0.3276727,9.68412,9.623999,9.655714,13.33314
"2018-01-12 15:25:00",11303,0.3279647,0.3274056,0.3277322,9.739818,9.697661,9.719717,13.32089
"2018-01-12 15:30:00",11304,0.3278801,0.3271213,0.3275762,9.79078,9.751944,9.77156,13.32122
"2018-01-12 15:35:00",11305,0.3277232,0.3269244,0.3274146,9.830819,9.801122,9.818544,13.32391
"2018-01-12 15:40:00",11306,0.3277777,0.3275106,0.3276932,9.846904,9.833718,9.840761,13.32273
"2018-01-12 15:45:00",11307,0.3277604,0.3268477,0.3274741,9.850676,9.845078,9.848297,13.34036
"2018-01-12 15:50:00",11308,0.3275636,0.3270872,0.3274195,9.844075,9.836415,9.839466,13.18843
"2018-01-12 15:55:00",11309,0.3275186,0.3271092,0.3272763,9.836247,9.821622,9.829871,13.29084
"2018-01-12 16:00:00",11310,0.3277427,0.3269195,0.3272651,9.821588,9.817018,9.81875,13.3872
"2018-01-12 16:05:00",11311,0.327062,0.3268268,0.3269357,9.834003,9.82411,9.828981,13.36487
"2018-01-12 16:10:00",11312,0.3275178,0.3268752,0.3271303,9.846145,9.836721,9.841819,13.35665
"2018-01-12 16:15:00",11313,0.3271141,0.3267709,0.3269146,9.847435,9.845489,9.846728,13.3726
"2018-01-12 16:20:00",11314,0.3272781,0.3262888,0.3268883,9.844583,9.842471,9.843238,13.03313
"2018-01-12 16:25:00",11315,0.3272649,0.3267474,0.3269403,9.842687,9.842499,9.842583,12.99938
"2018-01-12 16:30:00",11316,0.3271661,0.3268083,0.327051,9.842234,9.838952,9.840879,13.36957
"2018-01-12 16:35:00",11317,0.3271356,0.3265445,0.3267952,9.837035,9.827321,9.832404,13.04723
"2018-01-12 16:40:00",11318,0.3270216,0.3266896,0.3267833,9.824395,9.813947,9.818933,12.97403
"2018-01-12 16:45:00",11319,0.3267511,0.3263969,0.3265563,9.812165,9.809268,9.810339,13.14477
"2018-01-12 16:50:00",11320,0.3271813,0.3262064,0.3265661,9.812798,9.809546,9.81093,12.88069
"2018-01-12 16:55:00",11321,0.3268939,0.3262947,0.326533,9.817534,9.814198,9.816114,12.84929
"2018-01-12 17:00:00",11322,0.3265067,0.3260376,0.3262713,9.817722,9.814943,9.816617,12.91661
"2018-01-12 17:05:00",11323,0.3266033,0.326329,0.326408,9.813599,9.806329,9.810063,12.79271
"2018-01-12 17:10:00",11324,0.3265662,0.3259086,0.3262674,9.804289,9.795978,9.800146,12.76216
"2018-01-12 17:15:00",11325,0.3263647,0.3258068,0.3260112,9.793563,9.784155,9.788867,12.81303
"2018-01-12 17:20:00",11326,0.326508,0.3258262,0.3261234,9.781838,9.771259,9.776722,12.72975
"2018-01-12 17:25:00",11327,0.3262147,0.325503,0.3258353,9.768407,9.756539,9.76264,12.69013
"2018-01-12 17:30:00",11328,0.3263669,0.3254521,0.3259675,9.753683,9.740263,9.74691,12.75527
"2018-01-12 17:35:00",11329,0.3260835,0.3255481,0.3259203,9.737088,9.723058,9.730315,12.66663
"2018-01-12 17:40:00",11330,0.3259771,0.3255684,0.3257189,9.719454,9.705953,9.712675,12.64883
"2018-01-12 17:45:00",11331,0.3260101,0.3257316,0.3258891,9.702705,9.689564,9.696242,12.72186
