med_fecha;med_hora;med_valor 
23/09/2010;11:59:12;10.761
23/09/2010;12:14:12;10.907
23/09/2010;12:29:12;12.001
23/09/2010;12:44:12;11.904
23/09/2010;12:59:12;11.151
23/09/2010;13:14:12;13.473
23/09/2010;13:29:12;12.243
23/09/2010;13:44:12;10.173
23/09/2010;13:59:12;10.1
23/09/2010;14:14:12;11.394
23/09/2010;14:29:12;13.786
23/09/2010;14:44:12;11.929
23/09/2010;14:59:12;12.195
23/09/2010;15:14:12;12.558
23/09/2010;15:29:12;12.703
23/09/2010;15:44:12;11.807
23/09/2010;15:59:12;9.928
23/09/2010;16:14:12;9.854
23/09/2010;16:29:12;10.001
23/09/2010;16:44:12;8.965
23/09/2010;16:59:12;8.817
23/09/2010;17:14:12;8.469
23/09/2010;17:29:12;8.045
23/09/2010;17:44:12;7.82
23/09/2010;17:59:12;7.67
23/09/2010;18:14:12;7.519
23/09/2010;18:29:12;7.519
23/09/2010;18:44:12;7.519
23/09/2010;18:59:12;7.419
23/09/2010;19:14:12;7.469
23/09/2010;19:29:12;7.419
23/09/2010;19:44:12;7.419
23/09/2010;19:59:12;7.444
23/09/2010;20:14:12;7.293
23/09/2010;20:29:12;7.167
23/09/2010;20:44:12;7.116
23/09/2010;20:59:12;7.142
23/09/2010;21:14:12;6.889
23/09/2010;21:29:12;6.763
23/09/2010;21:44:12;6.712
23/09/2010;21:59:12;6.611
23/09/2010;22:14:12;5.924
23/09/2010;22:29:12;6.204
23/09/2010;22:44:12;6.128
23/09/2010;22:59:12;6.382
23/09/2010;23:14:12;6.382
23/09/2010;23:29:12;6.382
23/09/2010;23:44:12;6.737
23/09/2010;23:59:12;7.268
24/09/2010;0:14:12;6.408
24/09/2010;0:29:12;6.509
24/09/2010;0:44:12;6.712
24/09/2010;0:59:12;6.458
24/09/2010;1:14:12;6.331
24/09/2010;1:29:12;6.281
24/09/2010;1:44:12;6.611
24/09/2010;1:59:12;6.102
24/09/2010;2:14:12;6.23
24/09/2010;2:29:12;6.102
24/09/2010;2:44:12;6.026
24/09/2010;2:59:12;6.077
24/09/2010;3:14:12;6.026
24/09/2010;3:29:12;5.924
24/09/2010;3:44:12;5.796
24/09/2010;3:59:12;5.745
24/09/2010;4:14:12;6.382
24/09/2010;4:29:12;6.128
24/09/2010;4:44:12;6.153
24/09/2010;4:59:12;6.331
24/09/2010;5:14:12;5.872
24/09/2010;5:29:12;6.051
24/09/2010;5:44:12;6.153
24/09/2010;5:59:12;5.847
24/09/2010;6:14:12;6.026
24/09/2010;6:29:12;6.408
24/09/2010;6:44:12;6.331
24/09/2010;6:59:12;8.12
24/09/2010;7:14:12;7.92
24/09/2010;7:29:12;7.695
24/09/2010;7:44:12;8.319
