"Título de trazado: JTU_01_PT_83"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412759, SEN S/N: 2412759)","Final de archivo (LGR S/N: 2412759)"
332,20/03/15 09:05:34,33.1,
333,20/03/15 09:07:11,33.2,
334,20/03/15 09:08:52,33.3,
335,20/03/15 09:10:29,33.4,
336,20/03/15 09:12:02,33.5,
337,20/03/15 09:13:35,33.6,
338,20/03/15 09:15:10,33.7,
339,20/03/15 09:16:41,33.8,
340,20/03/15 09:18:11,33.9,
341,20/03/15 09:19:32,34.0,
342,20/03/15 09:21:00,34.1,
343,20/03/15 09:22:31,34.2,
344,20/03/15 09:24:01,34.3,
345,20/03/15 09:25:31,34.4,
346,20/03/15 09:27:04,34.5,
347,20/03/15 09:28:37,34.6,
348,20/03/15 09:30:06,34.7,
349,20/03/15 09:31:36,34.8,
350,20/03/15 09:33:02,34.9,
351,20/03/15 09:34:28,35.0,
352,20/03/15 09:35:54,35.1,
353,20/03/15 09:37:13,35.2,
354,20/03/15 09:38:34,35.3,
355,20/03/15 09:39:59,35.4,
356,20/03/15 09:41:19,35.5,
357,20/03/15 09:42:34,35.6,
358,20/03/15 09:43:54,35.7,
359,20/03/15 09:45:21,35.8,
360,20/03/15 09:46:42,35.9,
361,20/03/15 09:48:07,36.0,
362,20/03/15 09:49:27,36.1,
363,20/03/15 09:50:48,36.2,
364,20/03/15 09:52:08,36.3,
365,20/03/15 09:53:20,36.4,
366,20/03/15 09:54:43,36.5,
367,20/03/15 09:56:08,36.6,
368,20/03/15 09:57:30,36.7,
369,20/03/15 09:58:54,36.8,
370,20/03/15 10:00:10,36.9,
371,20/03/15 10:01:31,37.0,
372,20/03/15 10:02:42,37.1,
373,20/03/15 10:03:53,37.2,
374,20/03/15 10:04:52,37.3,
375,20/03/15 10:06:02,37.4,
376,20/03/15 10:07:02,37.5,
377,20/03/15 10:08:14,37.6,
378,20/03/15 10:09:19,37.7,
379,20/03/15 10:10:25,37.8,
380,20/03/15 10:11:33,37.9,
381,20/03/15 10:12:44,38.0,
382,20/03/15 10:13:56,38.1,
383,20/03/15 10:15:31,38.2,
384,20/03/15 10:17:23,38.3,
385,20/03/15 10:18:32,38.4,
386,20/03/15 10:19:43,38.5,
387,20/03/15 10:20:59,38.6,
388,20/03/15 10:22:25,38.7,
389,20/03/15 10:23:48,38.8,
390,20/03/15 10:25:15,38.9,
391,20/03/15 10:27:33,39.0,
392,20/03/15 10:30:11,39.1,
393,20/03/15 10:32:11,39.2,
394,20/03/15 10:35:22,39.3,
395,20/03/15 10:39:03,39.4,
396,20/03/15 10:43:04,39.5,
397,20/03/15 10:45:29,39.6,
398,20/03/15 10:46:53,39.7,
399,20/03/15 10:49:03,39.8,
400,20/03/15 10:52:08,39.9,
401,20/03/15 10:55:03,40.0,
402,20/03/15 10:59:19,40.1,
403,20/03/15 17:55:51,40.2,
404,20/03/15 18:09:38,40.3,
405,20/03/15 18:38:15,40.4,
406,20/03/15 18:49:31,40.5,
407,21/03/15 02:23:21,40.6,
408,21/03/15 15:45:13,40.7,
409,21/03/15 15:46:21,40.8,
410,21/03/15 15:47:20,40.9,
411,21/03/15 15:48:59,41.0,
412,21/03/15 15:51:23,41.1,
413,21/03/15 15:57:27,41.2,
414,21/03/15 16:06:26,41.3,
415,22/03/15 15:58:54,41.4,
416,22/03/15 16:00:27,41.5,
