"Título de trazado: JTU_01_PT_32"
"N.º";"Fecha Tiempo, GMT-05:00";"PRECIPITACION, mm (LGR S/N: 2412761, SEN S/N: 2412761)";"Final de archivo (LGR S/N: 2412761)"
260;29/05/15 12:54:53;25,9;
261;29/05/15 12:56:12;26,0;
262;29/05/15 12:58:03;26,1;
263;29/05/15 12:58:50;26,2;
264;29/05/15 12:59:28;26,3;
265;29/05/15 13:00:08;26,4;
266;29/05/15 13:01:09;26,5;
267;29/05/15 13:02:46;26,6;
268;29/05/15 13:04:31;26,7;
269;29/05/15 13:14:37;26,8;
270;29/05/15 13:28:49;26,9;
271;29/05/15 15:05:29;27,0;
272;30/05/15 07:23:37;27,1;
273;30/05/15 14:38:58;27,2;
274;30/05/15 15:25:57;27,3;
275;30/05/15 15:27:44;27,4;
276;30/05/15 15:29:31;27,5;
277;30/05/15 15:31:21;27,6;
278;30/05/15 15:33:39;27,7;
279;30/05/15 15:34:53;27,8;
280;30/05/15 15:36:17;27,9;
281;30/05/15 15:37:04;28,0;
282;30/05/15 15:39:04;28,1;
283;30/05/15 15:42:57;28,2;
284;30/05/15 15:47:00;28,3;
285;30/05/15 15:53:16;28,4;
286;31/05/15 09:14:09;28,5;
287;31/05/15 09:23:04;28,6;
288;31/05/15 09:26:27;28,7;
289;31/05/15 09:31:37;28,8;
290;31/05/15 10:06:09;28,9;
291;31/05/15 10:16:42;29,0;
292;31/05/15 10:23:49;29,1;
293;31/05/15 10:34:54;29,2;
294;31/05/15 10:36:38;29,3;
295;31/05/15 10:52:11;29,4;
296;31/05/15 11:14:05;29,5;
297;31/05/15 14:11:45;29,6;
298;31/05/15 15:00:09;29,7;
299;01/06/15 12:10:48;29,8;
300;01/06/15 13:55:15;29,9;
301;01/06/15 14:06:06;30,0;
302;02/06/15 06:25:13;30,1;
303;02/06/15 19:02:57;30,2;
304;02/06/15 19:45:01;30,3;
305;02/06/15 19:51:04;30,4;
306;02/06/15 19:56:44;30,5;
307;02/06/15 20:00:31;30,6;
308;02/06/15 20:09:25;30,7;
309;02/06/15 20:29:34;30,8;
310;02/06/15 22:46:19;30,9;
311;02/06/15 22:47:54;31,0;
312;02/06/15 22:50:06;31,1;
313;02/06/15 22:54:32;31,2;
314;02/06/15 23:31:04;31,3;
315;02/06/15 23:44:12;31,4;
316;03/06/15 00:12:15;31,5;
317;03/06/15 00:24:14;31,6;
318;03/06/15 00:55:27;31,7;
319;03/06/15 01:18:29;31,8;
320;03/06/15 01:32:12;31,9;
321;03/06/15 01:36:10;32,0;
322;03/06/15 01:40:09;32,1;
323;03/06/15 01:44:01;32,2;
324;03/06/15 01:52:22;32,3;
325;03/06/15 01:57:05;32,4;
326;03/06/15 02:00:19;32,5;
327;03/06/15 02:03:13;32,6;
328;03/06/15 02:08:14;32,7;
329;03/06/15 02:11:12;32,8;
330;03/06/15 02:16:58;32,9;
331;03/06/15 02:29:24;33,0;
332;03/06/15 03:33:41;33,1;
333;03/06/15 03:48:30;33,2;
334;03/06/15 04:14:12;33,3;
335;03/06/15 13:33:15;33,4;
336;03/06/15 16:20:32;33,5;
337;03/06/15 16:25:11;33,6;
338;03/06/15 16:33:55;33,7;
339;03/06/15 16:36:22;33,8;
340;03/06/15 16:39:43;33,9;
341;03/06/15 16:41:20;34,0;
342;03/06/15 16:42:58;34,1;
343;03/06/15 16:44:56;34,2;
344;03/06/15 16:47:42;34,3;
345;03/06/15 16:49:45;34,4;
346;03/06/15 16:52:22;34,5;
347;03/06/15 16:55:50;34,6;
348;03/06/15 16:59:54;34,7;
349;03/06/15 17:03:53;34,8;
350;03/06/15 17:07:50;34,9;
351;03/06/15 17:12:41;35,0;
352;03/06/15 17:19:08;35,1;
353;03/06/15 17:22:20;35,2;
354;03/06/15 17:26:12;35,3;
355;03/06/15 17:28:31;35,4;
356;03/06/15 17:32:50;35,5;
357;03/06/15 17:36:51;35,6;
358;03/06/15 18:04:26;35,7;
359;03/06/15 18:53:14;35,8;
360;04/06/15 02:26:16;35,9;
361;04/06/15 02:32:45;36,0;
362;04/06/15 02:41:32;36,1;
363;04/06/15 02:50:12;36,2;
364;04/06/15 03:08:49;36,3;
365;04/06/15 04:38:35;36,4;
366;04/06/15 07:32:23;36,5;
367;04/06/15 07:56:51;36,6;
368;04/06/15 08:02:55;36,7;
369;04/06/15 08:11:22;36,8;
370;04/06/15 08:25:14;36,9;
371;04/06/15 08:33:26;37,0;
372;04/06/15 08:39:48;37,1;
373;04/06/15 08:46:54;37,2;
374;04/06/15 08:56:07;37,3;
375;04/06/15 09:03:57;37,4;
376;04/06/15 09:12:52;37,5;
377;04/06/15 09:30:02;37,6;
378;04/06/15 09:50:06;37,7;
379;04/06/15 10:32:16;37,8;
380;04/06/15 10:58:20;37,9;
381;04/06/15 11:04:56;38,0;
382;04/06/15 11:12:41;38,1;
383;04/06/15 11:31:40;38,2;
384;04/06/15 11:39:53;38,3;
385;04/06/15 11:45:16;38,4;
386;04/06/15 11:58:35;38,5;
387;04/06/15 12:12:32;38,6;
388;04/06/15 12:25:17;38,7;
389;04/06/15 17:56:46;38,8;
390;04/06/15 18:20:16;38,9;
391;04/06/15 18:51:36;39,0;
392;04/06/15 20:12:09;39,1;
393;04/06/15 20:18:33;39,2;
394;04/06/15 21:24:06;39,3;
395;04/06/15 21:30:00;39,4;
396;04/06/15 21:35:29;39,5;
397;04/06/15 21:40:10;39,6;
398;04/06/15 21:54:24;39,7;
399;04/06/15 22:03:41;39,8;
400;04/06/15 22:10:34;39,9;
401;04/06/15 22:18:23;40,0;
402;04/06/15 22:44:24;40,1;
403;04/06/15 23:19:36;40,2;
404;05/06/15 00:45:13;40,3;
405;05/06/15 00:52:24;40,4;
406;05/06/15 01:00:48;40,5;
407;05/06/15 01:18:24;40,6;
408;05/06/15 01:25:29;40,7;
409;05/06/15 01:36:18;40,8;
410;05/06/15 02:11:12;40,9;
411;05/06/15 03:36:14;41,0;
412;05/06/15 04:21:38;41,1;
413;05/06/15 04:26:29;41,2;
414;05/06/15 04:29:34;41,3;
415;05/06/15 04:32:48;41,4;
416;05/06/15 04:49:02;41,5;
417;05/06/15 05:02:26;41,6;
418;05/06/15 05:52:35;41,7;
419;05/06/15 06:08:08;41,8;
