"Título de trazado: JTU_01_PT_11"
"N.º","Fecha Tiempo, GMT-05:00","Ext. Line Event, mm (LGR S/N: 2412760, SEN S/N: 2412760)","Final de archivo (LGR S/N: 2412760)"
450,08/01/16 16:34:19,44.9,
451,08/01/16 16:35:04,45.0,
452,08/01/16 16:36:22,45.1,
453,08/01/16 16:37:05,45.2,
454,08/01/16 16:37:51,45.3,
455,08/01/16 16:38:45,45.4,
456,08/01/16 16:40:11,45.5,
457,08/01/16 16:42:39,45.6,
458,08/01/16 16:45:11,45.7,
459,08/01/16 16:46:49,45.8,
460,08/01/16 16:49:02,45.9,
461,08/01/16 16:52:55,46.0,
462,08/01/16 16:58:16,46.1,
463,09/01/16 07:22:43,46.2,
464,09/01/16 15:02:00,46.3,
465,09/01/16 15:06:02,46.4,
466,09/01/16 15:08:29,46.5,
467,09/01/16 15:10:57,46.6,
468,09/01/16 15:14:09,46.7,
469,09/01/16 15:33:38,46.8,
470,09/01/16 15:35:31,46.9,
471,09/01/16 16:17:13,47.0,
472,10/01/16 20:26:18,47.1,
473,10/01/16 20:57:55,47.2,
474,11/01/16 06:17:43,47.3,
475,11/01/16 13:13:46,47.3,Registrado
