"Título de trazado: JTU_01_PT_22"
"N.º";"Fecha Tiempo, GMT-05:00";"Event, units (LGR S/N: 10390585, SEN S/N: 10390585)";"Final de archivo (LGR S/N: 10390585)"
390;04/06/15 11:01:50;38.9;
391;04/06/15 11:09:17;39.0;
392;04/06/15 11:15:46;39.1;
393;04/06/15 11:31:49;39.2;
394;04/06/15 11:39:49;39.3;
395;04/06/15 11:43:43;39.4;
396;04/06/15 11:49:39;39.5;
397;04/06/15 12:00:19;39.6;
398;04/06/15 12:14:44;39.7;
399;04/06/15 12:22:59;39.8;
400;04/06/15 17:50:41;39.9;
401;04/06/15 17:56:53;40.0;
402;04/06/15 18:08:43;40.1;
403;04/06/15 18:22:38;40.2;
404;04/06/15 18:49:23;40.3;
405;04/06/15 18:56:05;40.4;
406;04/06/15 20:05:08;40.5;
407;04/06/15 20:14:37;40.6;
408;04/06/15 20:20:14;40.7;
409;04/06/15 21:20:23;40.8;
410;04/06/15 21:26:34;40.9;
411;04/06/15 21:30:30;41.0;
412;04/06/15 21:33:55;41.1;
413;04/06/15 21:36:47;41.2;
414;04/06/15 21:44:32;41.3;
415;04/06/15 21:53:40;41.4;
416;04/06/15 22:00:57;41.5;
417;04/06/15 22:06:13;41.6;
418;04/06/15 22:10:15;41.7;
419;04/06/15 22:15:42;41.8;
420;04/06/15 22:29:17;41.9;
421;04/06/15 22:41:17;42.0;
422;04/06/15 23:02:24;42.1;
423;04/06/15 23:45:42;42.2;
424;05/06/15 00:42:00;42.3;
425;05/06/15 00:45:40;42.4;
426;05/06/15 00:52:13;42.5;
427;05/06/15 00:56:01;42.6;
428;05/06/15 01:12:33;42.7;
429;05/06/15 01:19:19;42.8;
430;05/06/15 01:24:52;42.9;
431;05/06/15 01:33:01;43.0;
432;05/06/15 01:39:14;43.1;
433;05/06/15 01:57:02;43.2;
434;05/06/15 02:34:24;43.3;
435;05/06/15 03:53:22;43.4;
436;05/06/15 04:10:20;43.5;
437;05/06/15 04:16:54;43.6;
438;05/06/15 04:25:05;43.7;
439;05/06/15 04:26:59;43.8;
440;05/06/15 04:29:09;43.9;
441;05/06/15 04:31:36;44.0;
442;05/06/15 04:42:16;44.1;
443;05/06/15 04:49:06;44.2;
444;05/06/15 05:03:21;44.3;
445;05/06/15 05:26:37;44.4;
446;05/06/15 06:03:06;44.5;
447;05/06/15 06:08:44;44.6;
448;05/06/15 06:14:52;44.7;
449;05/06/15 06:17:26;44.8;
450;05/06/15 06:22:21;44.9;
451;05/06/15 06:33:46;45.0;
452;05/06/15 06:41:48;45.1;
453;05/06/15 06:46:43;45.2;
454;05/06/15 06:52:03;45.3;
455;05/06/15 06:57:03;45.4;
456;05/06/15 07:12:46;45.5;
457;05/06/15 08:07:38;45.6;
458;05/06/15 08:16:44;45.7;
459;05/06/15 08:21:22;45.8;
460;05/06/15 08:30:40;45.9;
461;05/06/15 08:33:37;46.0;
462;05/06/15 08:37:22;46.1;
463;05/06/15 08:40:03;46.2;
464;05/06/15 08:44:08;46.3;
465;05/06/15 08:47:15;46.4;
466;05/06/15 08:49:41;46.5;
467;05/06/15 08:51:02;46.6;
468;05/06/15 08:52:30;46.7;
469;05/06/15 08:53:48;46.8;
470;05/06/15 08:55:07;46.9;
471;05/06/15 08:56:28;47.0;
472;05/06/15 08:57:50;47.1;
473;05/06/15 08:58:47;47.2;
474;05/06/15 08:59:56;47.3;
475;05/06/15 09:00:58;47.4;
476;05/06/15 09:02:05;47.5;
477;05/06/15 09:03:08;47.6;
478;05/06/15 09:04:16;47.7;
479;05/06/15 09:05:34;47.8;
480;05/06/15 09:07:12;47.9;
481;05/06/15 09:08:49;48.0;
482;05/06/15 09:10:46;48.1;
483;05/06/15 09:12:48;48.2;
484;05/06/15 09:15:50;48.3;
485;05/06/15 09:18:44;48.4;
486;05/06/15 09:24:04;48.5;
487;05/06/15 09:29:08;48.6;
